species,latitude,longitude
Athene cunicularia,49.676723,-112.171669
Athene cunicularia,49.020684,-109.46182
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,48.609974,-68.106224
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,50.638853,-120.578922
Athene cunicularia,49.32298,-119.767506
Athene cunicularia,49.062575,-107.51642
Athene cunicularia,49.084329,-119.435402
Athene cunicularia,49.111043,-107.511645
Athene cunicularia,43.718257,-79.328467
Athene cunicularia,49.291081,-119.713192
Athene cunicularia,49.24876,-107.473831
Athene cunicularia,49.212017,-107.549952
Athene cunicularia,49.187641,-107.048304
Athene cunicularia,49.136125,-107.576988
Athene cunicularia,50.60051,-120.517357
Athene cunicularia,50.6638,-120.493037
Athene cunicularia,49.190591,-107.464636
Athene cunicularia,49.144247,-107.571228
Athene cunicularia,49.330468,-107.504078
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,43.62801,-79.32444
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,50.5,-111.25
Athene cunicularia,50.718,-110.253
Athene cunicularia,49.967,-112.883
Athene cunicularia,51.5,-112.5
Athene cunicularia,51.15,-112.083
Athene cunicularia,50.083,-111.55
Athene cunicularia,50.1,-111.417
Athene cunicularia,50.083,-111.55
Athene cunicularia,52.883,-118.083
Athene cunicularia,49.5,-108.583
Athene cunicularia,50.95,-113.283
Athene cunicularia,50.583,-111.883
Athene cunicularia,49.883,-97.233
Athene cunicularia,51.05,-114.083
Athene cunicularia,51.6,-114.333
Athene cunicularia,51.6,-114.333
Athene cunicularia,51.833,-113.217
Athene cunicularia,51.1,-111.583
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,45.426876,-76.34326
