Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.35838E-3,36.009673469,0.70409121,0.030653557,0.352,0.376
1.36298E-3,36.376210044,0.705310559,0.030460767,0.352,0.384
1.3652E-3,36.512730303,0.705896399,0.030364372,0.352,0.4
1.36621E-3,36.785879574,0.706160586,0.030171583,0.352,0.4
1.37622E-3,37.060526879,0.708785593,0.029978793,0.357333333,0.408
1.37894E-3,37.336100184,0.709494872,0.029786003,0.36,0.408
1.38084E-3,37.526915827,0.709989721,0.029593214,0.362666667,0.408
1.38831E-3,37.751171951,0.71192464,0.029496819,0.362666667,0.424
1.39468E-3,38.02992484,0.713565234,0.029304029,0.365333333,0.424
1.40073E-3,38.309786776,0.715115429,0.02911124,0.370666667,0.424
1.40548E-3,38.590541057,0.716327134,0.02891845,0.373333333,0.432
1.41444E-3,38.873365023,0.718596075,0.02872566,0.376,0.448
1.41996E-3,39.015360586,0.719983302,0.028629265,0.378666667,0.456
1.42162E-3,39.299548602,0.720401909,0.028436476,0.384,0.456
1.42581E-3,39.584465781,0.721448398,0.028243686,0.386666667,0.456
1.43189E-3,39.870523532,0.722961929,0.028050896,0.389333333,0.456
1.43445E-3,40.01396881,0.723598808,0.027954502,0.389333333,0.464
1.44983E-3,40.303713808,0.727383772,0.027761712,0.394666667,0.488
1.46096E-3,40.577483267,0.730089045,0.027568922,0.4,0.496
1.46809E-3,40.888905699,0.731809484,0.027376133,0.405333333,0.504
1.47563E-3,41.036469032,0.733616372,0.027279738,0.408,0.504
1.47902E-3,41.332151933,0.734423006,0.027086948,0.410666667,0.504
1.49092E-3,41.629397633,0.737241431,0.026894158,0.413333333,0.504
1.49286E-3,41.778683524,0.737698193,0.026797764,0.416,0.504
1.49359E-3,42.077335734,0.737869014,0.026604974,0.418666667,0.504
1.49431E-3,42.376185634,0.738039486,0.026412184,0.424,0.504
1.49506E-3,42.52569192,0.738215914,0.026315789,0.426666667,0.504
1.50054E-3,42.825344474,0.739497,0.026123,0.432,0.512
1.50463E-3,43.12626061,0.740451472,0.02593021,0.437333333,0.512
1.51308E-3,43.277568258,0.742409291,0.025833815,0.44,0.512
1.51489E-3,43.580534009,0.742827902,0.025641026,0.445333333,0.512
1.52015E-3,43.884124608,0.744038149,0.025448236,0.448,0.512
1.52377E-3,44.036501327,0.744866145,0.025351841,0.450666667,0.528
1.52887E-3,44.320288699,0.746029747,0.025159051,0.456,0.536
1.53234E-3,44.648632664,0.746819399,0.024966262,0.458666667,0.544
1.53839E-3,44.802471813,0.748189073,0.024869867,0.458666667,0.544
1.54361E-3,45.088498577,0.74936513,0.024677077,0.461333333,0.544
1.54715E-3,45.265639117,0.750158122,0.024580682,0.464,0.552
1.5505E-3,45.575616814,0.750907217,0.024387893,0.466666667,0.552
1.55846E-3,45.886877751,0.752678832,0.024195103,0.466666667,0.552
1.56126E-3,46.043003479,0.753298108,0.024098708,0.466666667,0.552
1.56485E-3,46.355675,0.754091184,0.023905919,0.469333333,0.552
1.56631E-3,46.512305628,0.75441219,0.023809524,0.469333333,0.552
1.57412E-3,46.826658093,0.756127203,0.023616734,0.469333333,0.552
1.5787E-3,47.141963383,0.757126586,0.023423944,0.472,0.552
1.57956E-3,47.299919277,0.757312566,0.02332755,0.472,0.552
1.58205E-3,47.616181991,0.757854046,0.02313476,0.477333333,0.552
1.58338E-3,47.774520011,0.758142477,0.023038365,0.477333333,0.552
1.59703E-3,48.093096348,0.761084,0.022845575,0.48,0.552
1.60081E-3,48.253177353,0.761892092,0.022749181,0.482666667,0.552
1.61309E-3,48.575073939,0.764499327,0.022556391,0.488,0.552
1.61784E-3,48.875694227,0.765499136,0.022363601,0.493333333,0.552
1.62225E-3,49.060715355,0.76642489,0.022267206,0.493333333,0.56
1.62567E-3,49.385538867,0.767139382,0.022074417,0.496,0.56
1.62875E-3,49.548413867,0.767781795,0.021978022,0.498666667,0.56
1.64309E-3,49.873552914,0.770747452,0.021785232,0.501333333,0.568
1.6462E-3,50.040646629,0.771387041,0.021688837,0.504,0.576
1.65297E-3,50.313454911,0.772768749,0.021496048,0.509333333,0.576
1.65663E-3,50.536771249,0.773512786,0.021399653,0.512,0.584
1.66682E-3,50.869644162,0.775573319,0.021206863,0.517333333,0.584
1.67004E-3,51.036648641,0.776220961,0.021110468,0.52,0.592
1.68046E-3,51.297283471,0.778299736,0.020917679,0.52,0.608
1.68814E-3,51.541518536,0.779822179,0.020821284,0.522666667,0.616
1.69792E-3,51.880570228,0.78174366,0.020628494,0.528,0.624
1.69916E-3,52.050486308,0.781986201,0.020532099,0.530666667,0.624
1.72151E-3,52.250247372,0.786310388,0.02033931,0.530666667,0.656
1.73777E-3,52.569268967,0.789402784,0.020242915,0.530666667,0.664
1.7487E-3,52.917980264,0.791456594,0.020050125,0.533333333,0.664
1.74911E-3,53.092890891,0.791532071,0.01995373,0.536,0.664
1.75027E-3,53.267918303,0.791750205,0.019857336,0.538666667,0.664
1.75789E-3,53.619168455,0.793167683,0.019664546,0.544,0.664
1.76386E-3,53.795554096,0.794270422,0.019568151,0.544,0.664
1.7666E-3,54.148768406,0.794775253,0.019375361,0.549333333,0.664
1.77063E-3,54.325831127,0.795515339,0.019278967,0.552,0.664
1.77491E-3,54.503322092,0.796298844,0.019182572,0.554666667,0.664
1.7784E-3,54.858954636,0.796935309,0.018989782,0.554666667,0.664
1.7812E-3,55.037074924,0.797444789,0.018893387,0.557333333,0.664
1.79042E-3,55.394625869,0.799111309,0.018700598,0.56,0.664
1.79182E-3,55.573808321,0.799364299,0.018604203,0.562666667,0.664
1.80032E-3,55.753840466,0.800886737,0.018507808,0.565333333,0.664
1.81283E-3,56.115593263,0.80310781,0.018315018,0.570666667,0.672
1.81325E-3,56.296918562,0.803181602,0.018218623,0.573333333,0.672
1.82264E-3,56.621450607,0.804830907,0.018025834,0.576,0.688
1.8274E-3,56.843948845,0.805662595,0.017929439,0.578666667,0.696
1.83057E-3,57.02700591,0.806213465,0.017833044,0.581333333,0.696
1.83186E-3,57.393362299,0.806437207,0.017640254,0.586666667,0.704
1.83273E-3,57.576635705,0.806588925,0.01754386,0.589333333,0.704
